,label,first_frame,last_frame,frames_seen
0,car,1,45,45
1,car,1,2,2
2,car,1,12,12
3,car,1,352,352
4,car,1,2,2
5,car,6,9,4
6,car,13,13,1
7,car,14,15,2
8,car,16,19,4
9,car,18,18,1
10,car,20,27,8
11,car,22,22,1
12,car,22,28,7
13,car,24,28,5
14,car,29,37,9
15,car,30,30,1
16,car,32,32,1
17,car,34,34,1
18,car,35,36,2
19,car,39,41,3
20,car,44,44,1
21,car,44,44,1
22,car,46,48,3
23,car,46,46,1
24,car,47,50,4
25,car,49,56,8
26,truck,50,52,3
27,car,52,61,10
28,bus,54,54,1
29,car,57,60,4
30,car,62,68,7
31,truck,66,66,1
32,car,67,67,1
33,car,70,89,20
34,car,73,76,4
35,car,73,75,3
36,person,76,76,1
37,person,78,78,1
38,car,80,80,1
39,car,82,82,1
40,car,83,83,1
41,car,85,93,9
42,truck,89,89,1
43,car,92,93,2
44,truck,93,95,3
45,car,95,110,16
46,person,99,99,1
47,car,105,111,7
48,car,106,109,4
49,car,114,117,4
50,car,117,117,1
51,car,119,122,4
52,car,119,122,4
53,car,120,132,13
54,car,122,125,4
55,car,124,125,2
56,car,127,127,1
57,car,130,131,2
58,car,130,131,2
59,car,134,139,6
60,car,134,135,2
61,person,138,140,3
62,car,138,139,2
63,car,139,167,29
64,car,141,141,1
65,car,143,193,51
66,bus,144,144,1
67,person,146,148,3
68,truck,148,148,1
69,bus,150,152,3
70,person,150,150,1
71,truck,154,154,1
72,car,158,159,2
73,car,162,162,1
74,person,164,165,2
75,car,165,175,11
76,person,167,168,2
77,car,168,168,1
78,car,169,172,4
79,car,169,172,4
80,truck,170,177,8
81,car,171,171,1
82,car,172,172,1
83,car,173,173,1
84,car,174,174,1
85,car,175,175,1
86,person,175,175,1
87,car,177,178,2
88,car,180,181,2
89,car,180,182,3
90,car,183,184,2
91,truck,184,225,42
92,car,184,185,2
93,car,185,198,14
94,person,187,187,1
95,car,187,209,23
96,bus,193,193,1
97,car,195,195,1
98,car,195,256,62
99,car,195,198,4
100,person,196,200,5
101,car,197,226,30
102,car,200,212,13
103,bus,200,200,1
104,person,202,204,3
105,bus,203,203,1
106,person,206,209,4
107,bus,206,206,1
108,bus,210,210,1
109,car,212,215,4
110,car,215,271,57
111,car,217,250,34
112,car,217,220,4
113,car,222,230,9
114,car,225,232,8
115,truck,227,230,4
116,car,235,236,2
117,car,239,239,1
118,car,241,241,1
119,car,245,247,3
120,car,250,251,2
121,car,250,250,1
122,car,252,254,3
123,car,254,255,2
124,bus,256,257,2
125,car,257,259,3
126,car,259,259,1
127,car,259,273,15
128,car,261,261,1
129,car,263,263,1
130,car,263,263,1
131,car,265,267,3
132,car,265,266,2
133,car,268,268,1
134,car,270,272,3
135,car,273,274,2
136,car,274,274,1
137,car,276,276,1
138,car,278,278,1
139,car,280,280,1
140,car,280,280,1
141,car,285,286,2
142,car,288,290,3
143,car,288,292,5
144,car,290,290,1
145,car,293,298,6
146,bus,293,297,5
147,car,294,295,2
148,car,294,295,2
149,car,295,296,2
150,car,298,299,2
151,car,298,298,1
152,car,299,301,3
153,bus,299,299,1
154,bus,300,304,5
155,bus,301,303,3
156,car,302,306,5
157,car,303,303,1
158,bus,305,305,1
159,bus,307,315,9
